Tract,All POIs,11,21,22,23,31,32,33,42,44,45,48,49,51,52,53,54,55,56,61,62,71,72,81,92
100000,660,0,0,0,3,3,4,2,1,51,29,9,5,14,29,12,11,0,0,16,37,49,335,32,17
210100,20,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,3,5,5
210400,58,0,0,0,0,0,0,0,0,14,3,1,1,3,3,2,2,0,0,1,7,1,10,10,0
210500,72,0,0,0,0,1,0,0,0,14,3,0,0,2,2,0,1,0,0,3,5,6,19,15,1
210600,54,0,0,0,1,0,0,0,0,13,1,1,0,1,4,0,1,0,0,1,5,1,13,12,0
210700,17,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,1,10,0
210800,43,0,0,0,0,0,0,0,0,12,0,1,2,1,1,0,0,0,0,4,2,1,4,15,0
210900,16,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0
211000,20,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,3,10,0
211100,22,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,2,2,2,6,0
211200,34,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,4,4,1,4,12,0
211300,64,0,0,0,0,0,0,0,0,9,1,1,0,1,1,0,1,0,0,3,11,5,6,24,1
211400,28,0,0,0,2,0,0,0,0,9,0,0,0,0,1,0,0,0,0,3,0,4,1,8,0
211500,90,0,0,0,0,1,0,0,4,31,3,2,3,0,2,0,1,0,2,4,1,3,13,14,0
211600,45,0,0,0,0,0,0,0,0,11,0,0,0,5,4,1,0,0,0,0,4,1,11,8,0
211700,48,0,0,0,0,0,0,1,1,18,2,0,0,1,0,3,1,0,0,1,1,3,3,13,0
211900,16,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,1,3,3,0
212300,82,0,0,0,0,5,0,0,0,15,1,1,0,4,1,0,2,0,0,6,9,14,11,12,1
212400,93,0,0,0,0,0,0,0,2,45,1,0,2,0,2,2,0,0,0,0,10,3,9,15,1
212500,65,0,0,0,1,1,0,1,1,20,2,0,0,1,2,3,0,0,1,3,5,3,9,10,2
220100,14,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,1,0,6,0
220200,25,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,2,4,0,3,10,1
